feature,# including files,prod,prod non-factory
total,111,73,63
profiles,12,10,10
signin,13,8,6
dice,6,3,3
safe_browsing,7,4,3
settings,7,7,7
chrome/browser/ui/webui/signin,5,4,4
chrome/browser/chromeos,4,2,2
chrome/browser/extensions/api/identity,4,3,3
ios/chrome/browser/ui/authentication,3,2,2
arc/auth,3,2,2
sync,4,2,2
account_fetcher,5,3,1
chrome/browser/chromeos/login,3,1,1
chrome/browser/android/signin,2,2,2
authentication_service,4,2,1
supervised_user,3,3,2
webui,2,2,2
password_manager,3,2,2
about_signin,3,3,1
signin_ui_util,2,1,1
signin_promo,1,1,1
child_account_info,2,2,2
policy,1,0,0
ios/chrome/test/app,1,0,0
account_reconcilor,1,0,0
autofill,1,0,0
signin_tracker,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
browser_state,1,1,1
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
chrome/browser/ui,1,1,1
