file,# inclusions
chrome/browser/android/profiles/profile_downloader_android.cc,2
chrome/browser/profiles/avatar_menu.cc,1
chrome/browser/profiles/chrome_browser_main_extra_parts_profiles.cc,3
chrome/browser/profiles/gaia_info_update_service.cc,2
chrome/browser/profiles/gaia_info_update_service_unittest.cc,2
chrome/browser/profiles/host_zoom_map_browsertest.cc,1
chrome/browser/profiles/profile_downloader.cc,1
chrome/browser/profiles/profile_downloader.h,1
chrome/browser/profiles/profile_downloader_unittest.cc,3
chrome/browser/profiles/profile_impl.cc,4
chrome/browser/profiles/profile_info_cache.cc,1
chrome/browser/profiles/profile_info_cache_unittest.cc,1
chrome/browser/profiles/profile_io_data.cc,1
chrome/browser/profiles/profile_io_data.h,1
chrome/browser/profiles/profile_list_desktop.cc,1
chrome/browser/profiles/profile_list_desktop_unittest.cc,1
chrome/browser/profiles/profile_manager.cc,2
chrome/browser/profiles/profile_manager_unittest.cc,1
chrome/browser/profiles/profile_window.cc,4
chrome/browser/profiles/profile_window_browsertest.cc,2
chrome/browser/profiles/profiles_state.cc,1
chrome/browser/profiles/renderer_updater_factory.cc,1
chrome/browser/ui/cocoa/profiles/profile_menu_controller.mm,1
chrome/browser/ui/views/profiles/avatar_toolbar_button.cc,3
chrome/browser/ui/views/profiles/avatar_toolbar_button.h,2
chrome/browser/ui/views/profiles/profile_chooser_view.cc,9
total,52
