file,# inclusions
chrome/browser/sync/sync_ui_util_unittest.cc,2
chrome/browser/sync/test/integration/profile_sync_service_harness.cc,1
chrome/browser/sync/test/integration/secondary_account_helper.cc,1
chrome/browser/sync/test/integration/sync_auth_test.cc,2
chrome/browser/ui/sync/one_click_signin_sync_observer_unittest.cc,1
chrome/browser/ui/sync/one_click_signin_sync_starter_unittest.cc,1
components/browser_sync/profile_sync_test_util.h,1
ios/chrome/browser/sync/ios_chrome_profile_sync_test_util.cc,1
ios/chrome/browser/sync/profile_sync_service_factory.cc,1
ios/web_view/internal/sync/cwv_sync_controller.mm,1
ios/web_view/internal/sync/cwv_sync_controller_unittest.mm,1
ios/web_view/internal/sync/web_view_profile_sync_service_factory.mm,1
total,14
