file,# inclusions
total,789
chrome/browser/signin/signin_manager_factory.h,95
components/signin/core/browser/account_tracker_service.h,78
components/signin/core/browser/account_consistency_method.h,71
components/signin/core/browser/signin_manager.h,66
chrome/browser/signin/profile_oauth2_token_service_factory.h,60
chrome/browser/signin/account_tracker_service_factory.h,58
components/signin/core/browser/profile_oauth2_token_service.h,56
chrome/browser/signin/gaia_cookie_manager_service_factory.h,28
components/signin/core/browser/gaia_cookie_manager_service.h,25
components/signin/core/browser/signin_error_controller.h,25
components/signin/core/browser/signin_manager_base.h,21
chrome/browser/signin/signin_error_controller_factory.h,20
chrome/browser/signin/chrome_signin_client_factory.h,19
chrome/browser/signin/fake_signin_manager_builder.h,18
ios/chrome/browser/signin/account_tracker_service_factory.h,16
components/signin/core/browser/test_signin_client.h,15
components/signin/core/browser/fake_profile_oauth2_token_service.h,15
components/signin/core/browser/signin_client.h,14
ios/chrome/browser/signin/profile_oauth2_token_service_factory.h,14
components/signin/core/browser/fake_gaia_cookie_manager_service.h,11
components/signin/core/browser/fake_signin_manager.h,11
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,10
ios/chrome/browser/signin/signin_manager_factory.h,8
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,8
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,7
components/signin/core/browser/device_id_helper.h,6
ios/chrome/browser/signin/signin_error_controller_factory.h,4
chrome/browser/signin/chrome_signin_client.h,3
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
components/signin/core/browser/signin_internals_util.h,2
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,1
ios/chrome/browser/signin/fake_signin_manager_builder.h,1
ios/chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,1
