feature,# including files,prod,prod non-factory
total,290,202,158
signin,27,19,14
profiles,26,19,18
sync,16,8,5
dice,11,7,7
chrome/browser/ui/webui/signin,14,10,9
settings,11,10,10
webui,11,8,7
chrome/browser/chromeos/login,12,9,7
account_reconcilor,9,7,5
about_signin,4,4,2
supervised_user,8,6,3
signin_ui_util,2,1,1
account_fetcher,6,4,1
chrome/browser/ui,9,4,4
policy,6,2,2
safe_browsing,7,4,3
account_consistency,8,5,4
signin_tracker,4,3,2
chrome/browser/extensions/api/identity,5,4,4
chrome/browser,6,5,5
extensions,5,4,2
signin_global_error,4,3,2
chrome/browser/android/signin,3,3,3
authentication_service,4,2,1
ios/web_view/internal/signin,7,7,2
chrome/test/base,2,0,0
force_signin,2,1,1
signin_promo,2,2,2
ios/chrome/browser/ui/authentication,3,2,2
metrics,4,3,1
autofill,4,3,1
bookmarks,4,1,1
arc/auth,4,3,3
account_investigator,3,2,1
browser_state,2,2,2
signin_error_notifier,3,2,1
browsing_data,3,2,2
chrome/browser/chromeos,4,1,1
components/search_provider_logos,2,1,1
password_manager,3,2,2
signin_status_metrics_provider,4,4,4
search,2,1,1
child_account_info,2,2,2
gaia_cookie_manager,1,1,0
ios/chrome/test/app,1,0,0
chrome/browser/search_provider_logos,1,1,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
toolbar,1,0,0
chrome/browser/prefs,1,1,1
first_run,1,1,1
