feature,# including files,prod,prod non-factory
total,99,56,34
supervised_user,9,6,4
signin,10,6,4
dice,5,2,2
settings,5,4,4
sync,7,2,1
chrome/browser/ui/webui/signin,4,3,2
account_fetcher,5,3,0
chrome/browser/chromeos/login,5,3,2
chrome/browser/extensions/api/identity,3,2,2
webui,3,1,1
policy,3,1,1
account_reconcilor,4,3,1
arc/auth,2,1,1
authentication_service,4,2,1
extensions,3,2,0
force_signin,2,1,1
browsing_data,2,0,0
signin_tracker,3,2,1
about_signin,3,3,1
signin_error_notifier,2,1,0
profiles,2,2,2
ios/chrome/browser/ui/authentication,1,1,1
signin_global_error,1,0,0
metrics,1,1,0
signin_ui_util,1,0,0
safe_browsing,1,0,0
chrome/browser/android/signin,1,1,1
components/search_provider_logos,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
gaia_cookie_manager,1,1,0
