feature,# inclusions,from prod,from prod non-factory
total,128,74,63
profiles,15,10,10
autofill,8,4,1
sync,7,0,0
signin,7,4,3
dice,6,3,3
chrome/browser/ui/webui/signin,6,5,5
chrome/browser/extensions/api/identity,6,4,4
chrome/browser/android/signin,6,6,6
account_fetcher,5,3,1
ios/chrome/browser/ui/authentication,4,4,4
safe_browsing,4,2,2
authentication_service,4,3,2
settings,4,4,4
chrome/browser/chromeos/login,4,2,2
supervised_user,3,3,2
about_signin,3,3,1
browser_state,3,3,3
account_reconcilor,2,0,0
signin_tracker,2,0,0
signin_promo,2,2,2
webui,2,2,2
ntp_snippets,2,0,0
signin_ui_util,2,2,2
ios/web_view/internal/signin,2,2,1
child_account_info,2,2,2
autocomplete,2,0,0
ios/chrome/test/app,2,0,0
chrome/browser/ui,2,0,0
suggestions,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
access_token_fetcher,1,0,0
policy,1,0,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
browsing_data,1,0,0
history,1,0,0
