file,# inclusions
chrome/browser/sync/chrome_sync_client.cc,2
chrome/browser/sync/profile_sync_service_factory.cc,2
chrome/browser/sync/profile_sync_test_util.cc,1
chrome/browser/sync/test/integration/fake_server_invalidation_service.h,1
chrome/browser/sync/test/integration/profile_sync_service_harness.cc,2
chrome/browser/sync/test/integration/sync_auth_test.cc,2
chrome/browser/sync/test/integration/sync_test.cc,1
chrome/browser/ui/sync/one_click_signin_sync_observer_unittest.cc,1
chrome/browser/ui/sync/one_click_signin_sync_starter_unittest.cc,1
components/browser_sync/profile_sync_service.cc,1
components/browser_sync/profile_sync_service_startup_unittest.cc,2
components/browser_sync/profile_sync_test_util.h,1
ios/chrome/browser/sync/ios_chrome_profile_sync_service_factory.cc,1
ios/chrome/browser/sync/ios_chrome_profile_sync_test_util.cc,1
ios/chrome/browser/sync/ios_chrome_sync_client.mm,1
total,20
