feature,# including files,prod,prod non-factory
total,263,184,146
sync,25,14,12
extensions,15,8,6
webui,14,11,10
settings,13,9,9
supervised_user,13,12,9
policy,13,7,5
profiles,14,11,10
chrome/browser/ui/webui/signin,10,6,5
chrome/browser/chromeos/login,7,6,5
bookmarks,5,2,2
dice,7,3,3
chrome/browser/ui,5,3,3
autocomplete,4,3,2
easy_unlock,4,3,3
password_manager,5,4,3
first_run,4,3,3
payments,4,2,2
signin,4,4,2
account_reconcilor,5,4,2
gcm,3,2,0
desktop_ios_promotion,4,2,1
chrome/browser,3,2,2
safe_browsing,2,1,1
toolbar,3,2,2
authentication_service,4,2,1
signin_status_metrics_provider,5,5,5
chrome/browser/extensions/api/identity,2,1,1
signin_tracker,3,2,1
about_signin,4,4,2
signin_global_error,2,1,1
invalidation,3,3,1
signin_promo,2,2,2
ios/chrome/browser/ui/signin_interaction,2,1,1
account_investigator,3,2,1
ios/chrome/browser/ui,2,1,1
signin_ui_util,2,1,1
ios/chrome/browser/ui/authentication,2,2,2
arc/auth,2,1,1
search,2,1,1
cryptauth,3,3,2
drive_backend,2,2,2
browser_state,2,2,2
ios/web_view/internal/signin,3,3,1
signin_error_notifier,1,0,0
chrome/browser/android/signin,2,2,2
account_consistency,3,2,1
feedback,1,1,1
force_signin,1,1,1
startup,1,1,1
drive,1,1,1
autofill,2,2,0
cloud_print,1,1,1
ios/chrome/browser/passwords,1,1,1
download,1,0,0
ios/chrome/app,1,1,1
chrome/browser/chromeos,1,0,0
metrics,1,0,0
chrome/test/base,1,0,0
chrome/browser/android,1,1,0
history,2,2,0
ios/web_view/internal/app,1,1,1
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/prefs,1,1,1
profile_identity_provider,1,1,1
