file,# inclusions
total,281
components/signin/core/browser/account_tracker_service.h,24
chrome/browser/signin/signin_manager_factory.h,18
chrome/browser/signin/gaia_cookie_manager_service_factory.h,17
chrome/browser/signin/chrome_signin_client_factory.h,16
chrome/browser/signin/account_tracker_service_factory.h,16
chrome/browser/signin/profile_oauth2_token_service_factory.h,15
components/signin/core/browser/profile_oauth2_token_service.h,15
components/signin/core/browser/gaia_cookie_manager_service.h,14
components/signin/core/browser/test_signin_client.h,13
chrome/browser/signin/account_fetcher_service_factory.h,12
components/signin/core/browser/signin_client.h,12
components/signin/core/browser/signin_manager.h,11
ios/chrome/browser/signin/profile_oauth2_token_service_factory.h,9
components/signin/core/browser/account_fetcher_service.h,9
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,9
components/signin/core/browser/device_id_helper.h,7
components/signin/core/browser/fake_account_fetcher_service.h,7
ios/chrome/browser/signin/signin_manager_factory.h,7
ios/chrome/browser/signin/account_tracker_service_factory.h,7
chrome/browser/signin/fake_account_fetcher_service_builder.h,6
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,6
components/signin/core/browser/fake_gaia_cookie_manager_service.h,5
components/signin/core/browser/fake_signin_manager.h,4
components/signin/core/browser/fake_profile_oauth2_token_service.h,4
chrome/browser/signin/fake_signin_manager_builder.h,4
chrome/browser/signin/chrome_signin_client.h,3
components/signin/core/browser/signin_manager_base.h,2
ios/chrome/browser/signin/account_fetcher_service_factory.h,2
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,1
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,1
components/signin/core/browser/signin_internals_util.h,1
components/signin/core/browser/child_account_info_fetcher_android.h,1
ios/chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,1
components/signin/core/browser/account_info_fetcher.h,0
