feature,# inclusions,from prod,from prod non-factory
total,83,44,28
signin,21,11,4
chrome/browser/ui/webui/signin,9,4,2
chrome/browser,7,5,5
sync,5,0,0
signin_status_metrics_provider,5,5,5
profiles,5,4,3
safe_browsing,3,1,0
chrome/browser/chromeos/login,3,3,2
account_reconcilor,2,0,0
supervised_user,2,2,0
bookmarks,2,0,0
password_manager,2,0,0
signin_ui_util,2,0,0
extensions,2,2,2
autofill,1,0,0
webui,1,0,0
dice,1,0,0
ios/web_view/internal/app,1,1,1
account_consistency,1,0,0
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
signin_global_error,1,0,0
chrome/browser/chromeos,1,0,0
chrome/browser/android/signin,1,1,1
browser_state,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
