file,# inclusions
chrome/browser/sync/profile_sync_service_android.cc,2
chrome/browser/sync/profile_sync_service_factory.cc,6
chrome/browser/sync/profile_sync_test_util.cc,3
chrome/browser/sync/supervised_user_signin_manager_wrapper.cc,1
chrome/browser/sync/sync_ui_util.cc,4
chrome/browser/sync/sync_ui_util_unittest.cc,6
chrome/browser/sync/test/integration/sync_auth_test.cc,2
chrome/browser/ui/sync/one_click_signin_sync_observer_unittest.cc,3
chrome/browser/ui/sync/one_click_signin_sync_starter.cc,5
chrome/browser/ui/sync/one_click_signin_sync_starter_unittest.cc,7
chrome/browser/ui/sync/sync_promo_ui_unittest.cc,2
components/browser_sync/profile_sync_service.cc,2
components/browser_sync/profile_sync_service.h,2
components/browser_sync/profile_sync_service_startup_unittest.cc,4
components/browser_sync/profile_sync_service_unittest.cc,2
components/browser_sync/profile_sync_test_util.cc,1
components/browser_sync/profile_sync_test_util.h,4
components/password_manager/sync/browser/password_sync_util.h,1
components/password_manager/sync/browser/sync_credentials_filter.h,1
components/password_manager/sync/browser/sync_username_test_base.h,3
components/sync/driver/signin_manager_wrapper.cc,1
components/sync/driver/sync_service_base.cc,1
ios/chrome/browser/sync/ios_chrome_profile_sync_service_factory.cc,3
ios/chrome/browser/sync/ios_chrome_profile_sync_test_util.cc,3
ios/chrome/browser/sync/synced_sessions_bridge.h,1
ios/chrome/browser/sync/synced_sessions_bridge.mm,2
total,72
